#main layout
"About";"Über"
"Include results from:";"folgende Ergebnisse einrechnen:"
"Size";"Die Dateigröße"
"Unpacked size";"Dateigröße&nbsp;ohne&nbsp;Komprimierung"
"Colors";"Farben"
"Version";"Version"
"Name";"Name"
"Description";"Beschreibung"
"Files";"Dateien"
"Soundtype";"Klangart"
"year";"Jahr"
"years";"Jahren"
"month";"Monate"
"months";"Monaten"
"day";"Tag"
"days";"Tagen"
"hour";"Uhr"
"hours";"Ühren"
"minute";"Minute"
"minutes";"Minuten"
"second";"Sekunde"
"seconds";"Sekunden"

#download
"Loading...";"Laden..."
"Close";"Schließen"
"Share this:";"Dieser Link schicken:"
"share on facebook";"In Facebook posten:"
"share on twitter";"In Twitter posten:"
"send by email";"Per Mail senden:"
"Download";"Herunterladen"
"Watch";"Sehen"
"Your comments";"Deine Kommentare"
"since";"seit %d %s"
"Post comment";"Kommentar senden"
"Add a comment";"Kommentar hinzufügen"
"from";"seit"
"I like it!";"Gefällt!"
"Booo!";"Buuh!"
"Comment published succesfully!";"Kommentar erfolgreich veröffentlichen!"
"Related files";"bezogene Dateien"

#user profile
"User profile";"Anwenderprofil"
"Choose your password:";"Passwort eingeben:"
"Insert your password (yep, again):";"Passwort eingeben (ja, noch Mal):"
"Please, fill this form to be a Foofind registered member:";"Bitte Formular ausfüllen um eine registrierte Nutzer werden zu dürfen"
"Nickname:";"Nick:"
"Edit your profile";"Profil editieren"
"Your profile was edited succesfully!";"Deine Profil würde erfolgreich aktualisiert"
"hello,";"Hallo,"
"logout";"Abmelden"
"login";"Anmelden"
"Login";"Anmelden"
"new user";"Konto erstellen"
"New user";"Konto erstellen"
"or";"oder"
"Register";"Anmelden"
"(If you are a new user, please";"(Falls du neu bei uns bist, bitte "
"register here";"sich hier anmelden"
"Choose a nickname:";"Neckname wählen:"
"Please, fill this form to be a Foofind registered member.";"Bitte Formular ausfüllen um eine registrierte Nutzer werden zu dürfen"
"User login";"Einloggen"
"Remember me";"Passwort erinnern"
"Your location:";"meine Standort"
"Change your password here: (otherwise leave it blank)";"neue Passwort eingeben (falls Sie es nicht ändern wollen, bitte das Feld einfach leer lassen)"
"Save profile";"Änderungen speichern"
"You are not allowed to view this page";"Sie haben auf diese Seite kein Zugriffsrecht."
"This username is taken. Please choose another one.";"Sorry, diese Nutzername liegt schon vor. Bitte gibt eine neue ein."
"This email is taken. Please use another one.";"Sorry, diese E-mail liegt auf unsere Datenbank schon vor. Bitte gibt eine neue ein."
"Forgot";"Hast du dein Passwort vergessen?"
"your password?";"Hast du dein Passwort vergessen?"
"Password:";"Passwort:"
"'%password%' is less than 5 characters long";"'%password%' hat weniger als 5 Charakteren"
"The passwords entered do not match.";"die eingegebene Passworte stimmen nicht überein"
"Are you sure you want to delete your foofind account?";"Sicher willst du deine Foofind Konto löschen?"
"Yes";"Ja"
"Your account has been deleted.";"Deine Foofind Konto würde erfolgreich gelöscht."
"Nice to hear that";"Wir freuen uns drauf"
"profile";"Profil"
"edit profile";"Profil bearbeiten"
"User name:";"Nick:"
"Member since:";"Mitglied seit:"
"Last 5 comments:";"letzten 5 Kommentare"
"Location:";"Standort:"
"Delete your Foofind account";"Nutzerkonto vom Foofind löschen"
"Forgot your password?";"Hast du dein Passwort vergessen?"
"Wrong email or password, please try again";"Falsche e-mail Adresse oder falsches Passwort. Bitte erneut versuchen. "
"Welcome";"Wilkommen"
"Please, click on this url to finish your register process:";"Klicke bitte auf die URL zum fertigstellen deiner Registratin"
"Sorry, this token does not exist or has been already used";"Entschuldigun dieser Username ist nicht vorhanden oder wurde bereits verwendet"
", confirm your email";"Bestätige bitte deine E-Mail Adresse"











"Send";"Senden"





#contact
"Contact form";"Kontakt Form"

















#complaint
"Your name:";"Ihre Name:"
"Your surname:";"Ihre Familienname:"
"Your company:";"Ihr Unternehmen:"
"Your phone number:";"Ihre Telefonnummer:"







#about


#footer



#privacy


















































#tos






















































#legal
















#error



#translate
"Translate";"Übersetzen"


"Choose language";"Sprache wählen"
