#main layout
"About";"Hakkımızda"
"'%value%' is no valid email address in the basic format local-part@hostname";"'%value%' yerel-kısım@host-ismi formatında geçerli bir e-mail adresi değildir"
"'%hostname%' is no valid hostname for email address '%value%'";"'%hostname%' '%value%' e-mail adresi için geçerli bir host ismi değildir"
"'%value%' appears to be a local network name but local network names are not allowed";"'%value%' yerel ağ ismi gibi görünmektedir ve yerel ağ isimleri kabul edilemez."
"'%value%' does not match the expected structure for a DNS hostname";"'%value%' beklenilen DNS host ismi şekline denk gelmiyor"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list";"'%value%' bir DNS host ismi gibi görünmektedir ama TLD bilinen TLD'ler listesinde bulunamamıştır."
"Message sent successfully!";"Mesaj başarıyla gönderilmiştir!"

#complaint
"Your name:";"İsminiz:"
"Your surname:";"Soyadınız:"
"Your company:";"Firmanız:"
"Your phone number:";"Telefon numaranız:"
"Please, insert the link to be reviewed:";"Lütfen incelenecek bağlantıyı giriniz:"
"Please, insert the url where this content appears:";"Lütfen bu içeriğin bulunduğu URL'i giriniz:"
"Reason of your complaint:";"Şikayetinizin nedeni:"
"'%value%' contains characters which are non alphabetic and no digits";"'%value%' ne alfabetik ne sayısal olan karakterler içermektedir."
"literal_check_agree";"<a href='/tr/page/tos'>Kullanım şartları</a> ile <a href='/tr/page/privacy'>gizlilik kurallarını</a> okudum ve kabul ediyorum."
"Please, accept the terms of use and privacy policy";"Lütfen kullanım şartlarını ve gizlilik kurallarını kabul ediniz"

#about
"this is the about text";"Foofind evrensel bir arama motorudur. Foofind'da tüm ağları tarayan ve her dosyayı endeksleyen yazılımlar üzerinde çalışmaktayız. Bu şekilde mümkün olan en geniş bağlantı kolleksiyonunu sunmayı amaçlıyoruz.<br /><br />Foofind P2P teknoloji tasarımcısı Pablo Soto'nun eseri olup, Madrid, İspanya'da MP2P Technologies tarafından geliştirilmektedir."

#footer
"this is the footer text";"Web sitesi Creative Commons <a rel='license content' href='http://creativecommons.org/licenses/by-nc-sa/3.0/deed.tr'>BY-NC-SA</a> lisansı altındadır. <a href='http://code.google.com/p/foofind/'>Kaynak kodu</a> <a rel='license source code' href='http://www.gnu.org/licenses/gpl-3.0.txt'>GPLv3</a> lisansı altındadır."
"Last indexed files.";"Son endekslenen dosyalar."




















































#tos
"Terms of use";"Kullanım şartları"






































































#error
"Foofind.com is under maintenance. Please, come back later.";"Foofind.com bakımdadır. Daha sonra tekrar ziyaret ediniz."
"This link does not exist or may have been deleted!";"Bu bağlantı yoktur ya da silinmiş olabilir!"

#translate
"Translate";"Tercüme"
"Help us to translate Foofind.com to your language";"Foofind.com'u dilinize çevirmemize yardım edin"
"translate text";"Foofind şu anda birkaç dilde hizmet sunmaktadır, ama çeviri için bize yardımda bulunabilirsiniz. Aşağıdaki listeden dilinizi seçip gereken alanları tercümeniz ile doldurmanız yeterli olacaktır. Bütün alanları doldurmanıza gerek yoktur, tüm yardımlar makbule geçecektir.<br/><br/>Eğer diliniz listede mevcut değilse, eklememiz için bizimle iletişime geçmenizi rica ederiz."
"Choose language";"Dil seçimi"
"Your translation has been sent. Thanks for your help!";"Tercümeniz gönderilmiştir. Yardımınız için teşekkür ederiz!"
"Please, translate at least one text.";"Lütfen en az bir metin tercüme ediniz."
"BetaTranslation";"Bu dilin tercümesi test aşamasındadır. Yanlış ya da eksik bir çeviri bulursanız, lütfen <a href='%s'>bunu rapor ediniz</a>."
"Other";"Diğer"
