#main layout
"About";"Quant a"
"This username is taken. Please choose another one.";"Eixe nom d´usuari ja existeix. Si us plau, escull un altre diferent"
"This email is taken. Please use another one.";"Eixe email ja existeix en la nostra base de dades. Si us plau, utilitza un altre diferent."
"Forgot";"Has oblidat?"
"your password?";"la teva contrasenya?"
"Password:";"Contrasenya:"
"'%password%' is less than 5 characters long";"%password% te menys de 5 caràcters'"
"The passwords entered do not match.";"Les contrasenyes introduides no coincideixen."
"Are you sure you want to delete your foofind account?";"Estas segur de voler borrar el teu compte de foofind?"
"Yes";"Si"
"Your account has been deleted.";"El teu compte ha estat eliminat."
"Nice to hear that";"Ens n´alegrem"
"profile";"perfil"
"edit profile";"editar perfil"
"User name:";"Àlies:"
"Member since:";"Membre desde:"
"Last 5 comments:";"Darres 5 comentaris:"
"Location:";"Ubicació:"
"Delete your foofind.com account";"Eliminar el teu compte de foofind.com"
"Forgot your password?";"Ha oblidat la teva contrasenya ?"
"Wrong email or password, please try again";"Adreça de correu o contrasenya errònia. Proveu un altre cop."
"Welcome";"Benvingut"
"Please, click on this url to finish your register process:";"Si us plau, fes click en aquest enllaç per completar el teu procés de registre:"
"Sorry, this token does not exist or has been already used";"Ho sentim, aquesta url d´autenticació no existeix o ja ha estat utilitzada"
", confirm your email";", comfirma el teu email"
", restore your foofind access";", restaura el teu accés a foofind"
"Please, enter your email address. An email to recover your access will be sent to you.";"Si us plau, introdueix el teu email. T'enviarem un missatge per recuperar l'accés."
"Check your inbox email to restore your foofind.com access";"Comprova el teu correu per recuperar el teu accés a foofind.com"
"Check your inbox email to finish the register process";"Comprova ton correu per completar el procés de registre"
"Somebody, probably you, wants to restore your foofind access. Click on this url to restore your foofind account:";"Algú, probablement tú, ha sol·licitat restaurar l'accés al teu compte de foofind.com. Clica sobre aquesta url per recuperar el teu compte:"
"Otherwise, ignore this message.";"En cas contrari, ignora aquest missatge."
"The foofind team.";"L'equip de foofind.com"
"This user does not exist";"L'usuari no existeix"
"You are now logged in,";"Has iniciat sessió,"
"(If you already are a registered user, please";"(Si ja ets un usuari registrat, si us plau"
"login here";"accedeix aquí"
"Send";"Enviar"
"The email address must be the same you used to register.";"L´adreça de correu ha de esser la mateixa que vas utilitzar per registrar-te."
"This email is not in our database. Please, try again.";"L´adreça de correu introduida no és a la nostra base de dades. Si us plau, torna-ho a provar."
"Please, login to vote";"Si us plau, accedeix per votar"
"Please, login to comment";"Si us plau, accedeix per afegir un comentari"
"Sorry, we are experiencing technical problems with the %s service.";"Ens sap greu, estem tenint problemes técnics amb el servei de %s"
"You should allow Foofind access to your %s account to use this feature.";"Per utilitzar aquesta funcionalitat hauríes de permetre a Foofind accedir al teu compte de %s"

#contact
"Contact form";"Formulari de contacte"
"Note: If you are claiming for a link removal, you must use <a href='/en/page/complaint'>report link form</a>.";"Important: Si desitges reclamar la supressió d´un ellaç, deuràs utilitzar excluisvament el <a href='/ca/page/complaint'>formulari de reclamació</a>."
"Complaints done trough this form will be ignored.";"Les reclamacions realitzades a través d´aquest formulari seran ignorades."
"Your email:";"El teu email:"
"Your message:";"El teu missatge:"
"Please, insert the 5 characters shown:";"Si us plau, introdueix 5 caracters que es mostren:"
"Value is required and can't be empty";"Aquest camp no pot estar buit"
"Captcha value is wrong";"Els caracters introduïts no tenen coincidència amb els de l´imatge"
"'%value%' is less than 20 characters long";"'%value%' tens menys de 20 caracters"
"'%value%' is less than 9 characters long";"'%value%' tens menys de 9 caracters"
"'%value%' is less than 5 characters long";"'%value%' tens menys de 5 caracters"
"'%value%' is less than %min% characters long";'%value%' tens menys de %min% caracters"
"'%value%' is no valid email address in the basic format local-part@hostname";"'%value%' no es una adreça de correu vàlida amb el format: usuari@exemple.cat"
"'%hostname%' is no valid hostname for email address '%value%'";"'%hostname%' no es correcte el domini per a l´adreça de correu '%value%'"
"'%value%' appears to be a local network name but local network names are not allowed";"'%value%' sembla ser una adreça de xarxa local"
"'%value%' does not match the expected structure for a DNS hostname";"'%value%' no coincideix amb la estructura demanada per a un nom de domini DNS"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list";"'%value%' sembla ser un nom de domini però no coincideix amb cap TLD conegut"
"Message sent successfully!";" El teu missatge s´ha enviat correctament."

#complaint
"Your name:";"El teu nom:"
"Your surname:";"Els teus cognoms:"
"Your company:";"La teva empresa:"
"Your phone number:";"El teu número de telèfon:"
"Please, insert the link to be reviewed:";"Si us plau, introdueixi l´enllaç que creu deu ser revisat:"
"Please, insert the url where this content appears:";"Si us plau, introdueix la url on apareix el contingut reclamat:"
"Reason of your complaint:";"Motiu de la teva reclamació:"
"'%value%' contains characters which are non alphabetic and no digits";"'%value%' conté caracters que no són lletres ni nombres."
"literal_check_agree";"He llegit i accepte els <a href='/ca/page/tos'>termes d´us</a> i la <a href='/ca/page/privacy'>politica de privacitat</a>."
"Please, accept the terms of use and privacy policy";"Si us plau, deus llegir i acceptar els termes d´us i la politica de privacitat"

#submit links
"Submit links";"Enviar enllaços"
"Please include one http, ftp, ed2k or magnet link per line.<br />It will be crawled automatically and added to search results shortly.";"Si us plau, inclou un enllaç http, ftp, ed2k o magnet per línia.<br />Aquests seràn analitzats automàticament i afegits als resultats de la cerca dintre de poc."
"The links have been sent. Thanks for your help!";"Els enllaços s´han enviat. Gràcies per l´ajuda!"

#about
"this is the about text";"Foofind és un motor de cerca universal. En Foofind treballem creant software que recorreix totes les xarxes i indexa tots els arxius. D´aquesta manera, volem oferir la major quantitat d´enllaços disponibles. Foofind és una idea de Pablo Soto, creador de tecnologies P2P, desenvolupades a Madrid, España per MP2P Technologies."

#footer
"this is the footer text";"Lloc web sota llicència Creative Commons <a rel='license content' href='http://creativecommons.org/licenses/by-nc-sa/3.0/deed.ca'>BY-NC-SA</a>. <a href='http://code.google.com/p/foofind/'>Codi font</a> sota llicència <a rel='license source code' href='http://www.gnu.org/licenses/gpl-3.0.txt'>GPLv3</a>."
"Last indexed files.";"Darrers arxius indexats."

#privacy




















































#tos
"Terms of use";"Temes d´us"






















































#legal
















#error
"Foofind.com is under maintenance. Please, come back later.";"Foofind.com està aturat per manteniment. Si us plau, torni a provar-ho dintre d'una estona."
"This link does not exist or may have been deleted!";"Aquest enllaç no existeix o ha sigut eliminat!"

#translate
"Translate";"Traduïr"
"Help us to translate Foofind.com to your language";"Ajudans a traduïr Foofind.com a la teva llengua"
"translate text";"Actualment, Foofind.com està disponible en poques llengues, però tu pots ajudar-nos a traduïr la teva. Escull de la llista la llengua que es troba a continuació i ompli els camps amb els textos traduïts. No és necessari que ompligues tots els camps, qualsevol aportació que pugues realitzar serà de gran ajuda.<br/><br/>Si no trobes la teva llengua en la llista, posat en contacte amb nosaltres per a afegir-la."
"Choose language";"Escull llengua"
"Your translation has been sent. Thanks for your help!";"La teva traducció ha sigut enviada. Gràcies per la teva ajuda!"
"Please, translate at least one text.";"Si us plau, introdueix al menys una frase abans d´enviar."
"BetaTranslation";"Aquesta traducció està en fase de proves. Si trobes algún fallo o text sense traduir, si us plau informens <a href='%s'>ací</a>."
"Other";"Altre"
