#main layout
"About";"Hakkımızda"



























#error
"Foofind.com is under maintenance. Please, come back later.";"Foofind.com bakımdadır. Daha sonra tekrar ziyaret ediniz."
"This link does not exist or may have been deleted!";"Bu bağlantı yoktur ya da silinmiş olabilir!"

#translate
"Translate";"Tercüme"
"Help us to translate Foofind.com to your language";"Foofind.com'u dilinize çevirmemize yardım edin"

"Choose language";"Dil seçimi"
"Your translation has been sent. Thanks for your help!";"Tercümeniz gönderilmiştir. Yardımınız için teşekkür ederiz!"
"Please, translate at least one text.";"Lütfen en az bir metin tercüme ediniz."
