#main layout
"About";"Sobre"
"Forgot your password?";"Esqueciches o teu contrasinal?"
"Wrong email or password, please try again";"Enderezo de correo ou contrasinal incorrecto. Téntao de novo."
"Welcome";"Benvido"
"Please, click on this url to finish your register process:";"Preme nesta ligazón pra completar o teu proceso de rexistro:"
"Sorry, this token does not exist or has been already used";"Sentímolo, ese URL de autenticación non existe ou xa foi usado"
", confirm your email";", confirma o teu correo"
", restore your foofind access";", restaura o teu acceso a Foofind"
"Please, enter your email address. An email to recover your access will be sent to you.";"Introduce o teu enderezo de correo. Enviarémosche unha mensaxe pra recuperar o acceso."
"Check your inbox email to restore your foofind.com access";"Comproba o teu correo pra recuperar o teu acceso a foofind.com"
"Check your inbox email to finish the register process";"Comproba o teu correo pra completar o proceso de rexistro"
"Somebody, probably you, wants to restore your foofind access. Click on this url to restore your foofind account:";"Alguén, probablemente ti, solicitou restaurar o acceso a túa conta de Foofind. Preme neste URL pra recuperar a túa conta:"
"Otherwise, ignore this message.";"En caso contrario, ignora esta mensaxe."
"The foofind team.";"O equipo de Foofind."
"This user does not exist";"Este usuario non existe"
"You are now logged in,";"Iniciaches sesión,"
"(If you already are a registered user, please";"(Se xa es usuario rexistrado, por favor"
"login here";"accede eiquí"
"Send";"Enviar"
"The email address must be the same you used to register.";"O enderezo de correo debe de ser o mesmo que empregaches pra rexistrarte."
"This email is not in our database. Please, try again.";"O enderezo de correo introducido non está na nosa base de datos. Por favor, téntao de novo."
"Please, login to vote";"Por favor, accede para votar"
"Please, login to comment";"Por favor, accede para engadir un comentario"
"Sorry, we are experiencing technical problems with the %s service.";"Sentímolo, estamos tendo problemas técnicos co servizo de %s"
"You should allow Foofind access to your %s account to use this feature.";"Pra utilizar esta funcionalidade deberás permitir a Foofind acceder a túa conta de %s"

#contact
"Contact form";"Formulario de contacto"
"Note: If you are claiming for a link removal, you must use <a href='/en/page/complaint'>report link form</a>.";"Importante: Se desexa reclamar a suspensión dunha ligazón, debes utilizar exclusivamente o <a href='/gl/page/complaint'>formulario de reclamación</a>."
"Complaints done trough this form will be ignored.";"As reclamacións realizadas a través deste formulario serán ignoradas."
"Your email:";"O teu correo:"
"Your message:";"A túa mensaxe:"
"Please, insert the 5 characters shown:";"Por favor, introduce os 5 caracteres que se amosan:"
"Value is required and can't be empty";"Este campo non pode estar baleiro"
"Captcha value is wrong";"Os caracteres introducidos non coinciden cos da imaxe"
"'%value%' is less than 20 characters long";"'%value%' ten menos de 20 caracteres"
"'%value%' is less than 9 characters long";"'%value%' ten menos de 9 caracteres"
"'%value%' is less than 5 characters long";"'%value%' ten menos de 5 caracteres"
"'%value%' is less than %min% characters long";"'%value%' ten menos de %min% caracteres"
"'%value%' is no valid email address in the basic format local-part@hostname";"'%value%' non é un enderezo de correo válido co formato: usuario@ejemplo.com"
"'%hostname%' is no valid hostname for email address '%value%'";"'%hostname%' non é nome correcto de dominio para o enderezo de correo '%value%'"
"'%value%' appears to be a local network name but local network names are not allowed";"'%value%' semella ser un enderezo de rede local"
"'%value%' does not match the expected structure for a DNS hostname";"'%value%' non coincide coa estrutura requirida para un nome de dominio DNS"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list";"'%value%' semella ser un nome de dominio pero non coincide con ningún TLD coñecido"
"Message sent successfully!";"A túa mensaxe foi enviada correctamente."

#complaint
"Your name:";"O teu nome:"
"Your surname:";"Os teus apelidos:"
"Your company:";"A túa empresa:"
"Your phone number:";"O teu número de teléfono:"
"Please, insert the link to be reviewed:";"Por favor, introduce a ligazón que cree que debe ser revisada:"
"Please, insert the url where this content appears:";"Por favor, introduce o URL onde aparece o contido reclamado:"
"Reason of your complaint:";"Motiva da túa reclamación:"
"'%value%' contains characters which are non alphabetic and no digits";"'%value%' contén caracteres que non son letras nin números."
"literal_check_agree";"Lin e acepto os <a href='/gl/page/tos'>termos de uso</a> e a <a href='/gl/page/privacy'>política de intimidade</a>."
"Please, accept the terms of use and privacy policy";"Por favor, debes ler e aceptar os termos de uso e a política de intimidade"

#submit links
"Submit links";"Enviar enlaces"
"Please include one http, ftp, ed2k or magnet link per line.<br />It will be crawled automatically and added to search results shortly.";"Por favor, inclúe unha ligazón http, ftp, ed2k ou magnet por liña.<br />Estes serán analizados automaticamente e engadidos aos resultados de busca en breve."
"The links have been sent. Thanks for your help!";"As ligazóns foron enviadas. Grazas pola axuda!"

#about
"this is the about text";"Foofind é un motor de busca universal. En Foofind traballamos creando software que percorre todaa as redes e indexa todos os arquivos. Desta forma, pretendemos ofrecer o maior compendio de enlaces dispoñíbel. Foofind é unha idea de Pablo Soto, creador de tecnoloxías P2P, desenvolvida en Madrid, España, por MP2P Technologies."

#footer
"this is the footer text";"Sitio web baixo licencia Creative Commons <a rel='license content' href='http://creativecommons.org/licenses/by-nc-sa/3.0/deed.gl'>BY-NC-SA</a>. <a href='http://code.google.com/p/foofind/'>Código fonte</a> baixo licencia <a rel='license source code' href='http://www.gnu.org/licenses/gpl-3.0.txt'>GPLv3</a>."
"Last indexed files.";"Últimos arquivos indexados."

#privacy




















































#tos
"Terms of use";"Termos de uso"






















































#legal
















#error
"Foofind.com is under maintenance. Please, come back later.";"Foofind.com está en parada por mantemento. Volve de aquí a un chisco."
"This link does not exist or may have been deleted!";"Esta ligazón non existe ou foi eliminada!"

#translate
"Translate";"Traducir"
"Help us to translate Foofind.com to your language";"Axúdanos a traducir Foofind.com ao teu idioma"
"translate text";"Actualmente, Foofind.com está dispoñíbel en poucos idiomas, mais ti podes axudarnos a traducilo ao teu. Escolleo da lista de idiomas a seguir e enche os campos cos textos traducidos. Non é necesario que completes todos os campos, calquera colabotación que poidas realizar será de gran axuda.<br/><br/>Se non atopas o teu idioma na lista, ponte en contacto connosco pra que o engadamos."
"Choose language";"Elexir idioma"
"Your translation has been sent. Thanks for your help!";"A túa tradución foi enviada. Grazas pola axuda!"
"Please, translate at least one text.";"Por favor, traduce polo menos unha frase antes de enviar."
"BetaTranslation";"Esta tradución está en fase de probas. Se atopas algún erro ou texto sen traducir, por favor infórmanos <a href='%s'>aquí</a>."
"Other";"Outro"
